Number	E	Ft	Gft	Height	Length	Opening Rate	Distance	E_Soil	Soil_Piossons	Trough Width	Friction 	VL	Depth	Diameter	Fc	Identifier		C. Width		Tot. Cracks 			L. Average	Slope	Tilt	Ang. Dist.						Max Strain	G. Average
62	6212.061333	0.829645123	0.024636905	4.387931514	35.10566858	25.71726112	0.557267135	130.1913359	0.12364647	10.04723687	0.430877656	1.73042478	35.50026787	14.76432914	14.60518049	63	7	13.4366	-568.9225	7	0	48.38427361	10.2183	0.005605	0.005243	0.002099	-6.00E-06	0.003983	0.004	-0.000365	0.003983	0.003983	0.0042325
63	6294.720115	0.640305901	0.024775623	15.59027111	35.53477698	2.077347028	41.98956435	48.19865253	0.409397683	25.79290868	0.057083384	0.276981745	53.36555301	17.43034608	11.63006123	64	0	0	0	0	0	0	0	0.000169	0.000174	5.00E-06	3.00E-06	9.00E-06	1.00E-05	5.00E-06	9.00E-06	9.00E-06	8.93E-05
64	6609.799809	0.849954661	0.022342762	3.472828751	37.81759917	27.68654875	24.96635164	97.65741294	0.409840272	19.3952493	0.096205904	1.389255588	63.61030566	14.79729328	11.88127172	65	0	0	0	0	0	0	0	0.001451	0.001375	0.000134	6.90E-05	9.00E-06	0.000135	0.000134	1.80E-05	6.90E-05	0.00075725
65	7290.68943	0.812336297	0.022695979	19.67636676	26.84343958	15.69401662	3.656098653	131.503662	0.42667791	8.844909597	0.345132538	1.88267766	22.52799733	6.775405224	13.90886801	66	0	0	0	0	0	0	0	0.000705	0.000688	2.00E-05	-1.00E-06	1.90E-05	2.80E-05	-2.40E-05	1.30E-05	1.90E-05	0.000358
66	3214.892112	0.480489516	0.01423885	8.857448196	38.14958465	7.505314888	12.24140456	107.7964898	0.196714259	7.184133975	0.457305333	2.076593874	18.63883201	5.485051383	9.231369892	67	0	0	0	0	0	0	0	0.000969	0.000912	5.80E-05	6.40E-05	3.00E-05	6.80E-05	2.20E-05	6.40E-05	6.40E-05	0.00050075
67	2569.355822	0.333641013	0.014193295	10.93631373	43.80950983	16.41469369	16.53794367	207.8440644	0.216152151	19.17929736	0.13111307	1.9185864	63.9380247	17.01997242	6.378634858	68	1	4.8149	-9703.429	1	0	27.80229827	2.90745	0.002409	0.002364	0.000113	1.00E-06	0.000943	0.000944	-1.60E-05	0.000943	0.000943	0.00145725
68	4758.158303	0.653799759	0.023198195	7.902411012	45.29413265	3.557804103	28.72524589	100.1823608	0.118365296	21.89760851	0.379089401	1.163275973	34.92390648	14.25883095	6.915734304	69	0	0	0	0	0	0	0	0.000816	0.00081	3.40E-05	3.80E-05	6.00E-06	3.90E-05	3.40E-05	1.90E-05	3.80E-05	0.0004245
69	3960.76139	0.426838756	0.008242701	18.58835514	43.55638888	0.666156532	22.59842512	156.398902	0.102895017	14.24637494	0.097494126	3.754774268	50.11179754	11.47829805	6.593447997	70	0	0	0	0	0	0	0	0.003	0.002923	8.10E-05	8.30E-05	3.00E-06	0.000104	-0.000102	1.50E-05	8.30E-05	0.00152175
70	5264.939387	0.724533513	0.0223441	12.0282413	58.77433881	14.35019873	15.17085002	21.06545652	0.466029198	40.4616624	0.218613156	1.046022782	68.14129651	5.346218466	17.35348945	71	0	0	0	0	0	0	0	2.50E-05	2.90E-05	6.00E-06	2.00E-06	8.00E-06	1.00E-05	-7.00E-06	7.00E-06	8.00E-06	1.70E-05
71	2345.062544	0.274071643	0.01167574	6.026873775	44.64278257	27.62224075	5.05389368	24.32888603	0.144055188	26.06556054	0.147552759	0.204175935	75.53417176	6.289994763	4.469667348	72	0	0	0	0	0	0	0	1.50E-05	2.10E-05	1.00E-05	2.00E-06	7.00E-06	1.10E-05	9.00E-06	6.00E-06	7.00E-06	1.33E-05
72	2159.392156	0.49957129	0.022622275	19.94418228	45.28037526	8.96460162	22.98788706	94.10403798	0.185467444	15.14296538	0.451993137	4.024257321	30.73551707	9.872708191	3.526518218	73	0	0	0	0	0	0	0	0.002223	0.002156	7.00E-05	5.70E-05	2.40E-05	9.90E-05	-9.70E-05	2.00E-05	5.70E-05	0.0011265
